threshold,signal_yield,background_yield,signal_efficiency,background_efficiency,signal_over_background,signal_over_sqrt_background,asimov_significance,background_neff
0.002101377631331616,184868.0,358595.0,0.9999459102759658,0.914678161945695,0.5155342377891493,308.7163479176386,8.929435246155892,358595.0
0.0021440303080771206,184867.0,358017.0,0.9999405013035624,0.9132038413957582,0.5163637480901745,308.9637794599656,8.94205433506366,358017.0
0.002187329010507899,184866.0,357441.0,0.999935092331159,0.9117346223010113,0.5171930472441606,309.21094720568834,8.954665750357037,357441.0
0.002233105190660328,184864.0,356866.0,0.9999242743863521,0.9102679539338596,0.518020769700672,309.4566069256642,8.967248720414858,356866.0
0.0022826308623463526,184864.0,356289.0,0.9999242743863521,0.9087961841115179,0.5188596897462453,309.7070836859401,8.979997437702442,356289.0
0.0023337159976328584,184864.0,355712.0,0.9999242743863521,0.907324414289176,0.5197013314141777,309.95816964640653,8.992782940235367,355712.0
0.0023804624083717547,184864.0,355135.0,0.9999242743863521,0.9058526444668341,0.5205457079702085,310.20986728053094,9.00560538939454,355135.0
0.002424145409127033,184864.0,354559.0,0.9999242743863521,0.9043834253720874,0.5213913622274431,310.4617412610031,9.018442628366586,354559.0
0.002468708122190833,184863.0,353983.0,0.9999188654139487,0.9029142062773406,0.5222369435820364,310.71254899248277,9.03127412503998,353983.0
0.002516278731791908,184863.0,353407.0,0.9999188654139487,0.9014449871825938,0.5230881108749968,310.96565315269874,9.044185758734358,353407.0
0.0025645035919283276,184860.0,352832.0,0.9999026384967384,0.8999783188154421,0.5239320696535462,311.2138852881641,9.05698336678606,352832.0
0.002611941587773651,184860.0,352255.0,0.9999026384967384,0.8985065489931002,0.5247902797689175,311.4686679556743,9.069992456091954,352255.0
0.002660405053417053,184859.0,351679.0,0.999897229524335,0.8970373298983535,0.5256469678314599,311.72194793815186,9.082973729880417,351679.0
0.002706312223153544,184858.0,351103.0,0.9998918205519316,0.8955681108036068,0.5265064667633145,311.9758523234335,9.09599286269601,351103.0
0.0027523141859703802,184858.0,350526.0,0.9998918205519316,0.8940963409812649,0.5273731477836167,312.23251809025885,9.109116013558856,350526.0
0.0028055081301587522,184857.0,349950.0,0.9998864115795281,0.8926271218865182,0.5282383197599657,312.4876814785952,9.122211491029667,349950.0
0.0028555633684930882,184857.0,349373.0,0.9998864115795281,0.8911553520641763,0.5291107212062752,312.74561642016414,9.135411570254663,349373.0
0.002904901634832981,184857.0,348796.0,0.9998864115795281,0.8896835822418345,0.5299860090138648,313.0041911353201,9.148650432393936,348796.0
0.002955280334146437,184857.0,348219.0,0.9998864115795281,0.8882118124194927,0.5308641975308642,313.2634082732341,9.1619282507417,348219.0
0.0030067116399406686,184857.0,347643.0,0.9998864115795281,0.8867425933247459,0.5317437716277906,313.5228195710776,9.175222086073768,347643.0
0.0030624732518893206,184857.0,347066.0,0.9998864115795281,0.885270823502404,0.5326277998997309,313.7833284386928,9.188578272683262,347066.0
0.0031195717830778133,184857.0,346489.0,0.9998864115795281,0.8837990536800623,0.5335147724747394,314.04448776465244,9.201973941408223,346489.0
0.003172848585140806,184857.0,345912.0,0.9998864115795281,0.8823272838577204,0.5344047040865885,314.3063002603265,9.21540926976756,345912.0
0.0032243504608880404,184857.0,345335.0,0.9998864115795281,0.8808555140353785,0.5352976095675214,314.56876865293435,9.228884436395742,345335.0
0.0032792202811688697,184857.0,344758.0,0.9998864115795281,0.8793837442130368,0.5361935038490767,314.83189568566394,9.24239962096922,344758.0
0.003332239906334379,184856.0,344182.0,0.9998810026071246,0.87791452511829,0.5370879360338425,315.09352183672706,9.255887645291727,344182.0
0.0033823490513916984,184855.0,343606.0,0.9998755936347212,0.8764453060235432,0.537985366960996,315.35580700151206,9.269415796201192,343606.0
0.0034361483458006568,184855.0,343029.0,0.9998755936347212,0.8749735362012014,0.5388902979048419,315.62092139020115,9.283051868512525,343029.0
0.0034861971279001695,184854.0,342453.0,0.9998701846623178,0.8735043171064546,0.5397937819204387,315.88453549219656,9.296660946307332,342453.0
0.0035418762138361326,184854.0,341876.0,0.9998701846623178,0.8720325472841128,0.5407048169511752,316.1509896120721,9.310378568906273,341876.0
0.0035999703884571754,184854.0,341299.0,0.9998701846623178,0.870560777461771,0.5416189323730805,316.41811914758205,9.324137309477885,341299.0
0.0036542791510760044,184854.0,340722.0,0.9998701846623178,0.8690890076394292,0.542536143835737,316.6859269569952,9.337937355524911,340722.0
0.0037063794600017343,184854.0,340146.0,0.9998701846623178,0.8676197885446824,0.5434548693796193,316.9539500058331,9.35175487092869,340146.0
0.003768620477187689,184854.0,339569.0,0.9998701846623178,0.8661480187223406,0.5443783148638421,317.2231218178156,9.365638022759137,339569.0
0.0038286711936693046,184854.0,338992.0,0.9998701846623178,0.8646762488999987,0.5453049039505357,317.49298057574805,9.379563049289128,338992.0
0.003888863477126197,184854.0,338416.0,0.9998701846623178,0.863207029805252,0.5462330386270152,317.763059719594,9.393505899818594,338416.0
0.003954725104316966,184854.0,337838.0,0.9998701846623178,0.8617327092553151,0.5471675773595629,318.0347706544438,9.40753949644903,337838.0
0.0040127732999847635,184854.0,337261.0,0.9998701846623178,0.8602609394329732,0.5481036941715763,318.3067078815534,9.421591305060758,337261.0
0.004077647540232741,184853.0,336685.0,0.9998647756899144,0.8587917203382265,0.5490384186999718,318.5771473473041,9.435616715919727,336685.0
0.004144120145711045,184853.0,336108.0,0.9998647756899144,0.8573199505158846,0.549980958501434,318.85048239239904,9.449753889456915,336108.0
0.004210188321653556,184852.0,335532.0,0.999859366717511,0.8558507314211379,0.5509221177115744,319.1223202836492,9.463864792815528,335532.0
0.004273315851899403,184852.0,334955.0,0.999859366717511,0.854378961598796,0.5518711468704751,319.39706517327465,9.478088122268948,334955.0
0.0043336494950624365,184851.0,334379.0,0.9998539577451075,0.8529097425040493,0.5528188074011825,319.67031355275384,9.492285312047592,334379.0
0.004400651553739004,184850.0,333803.0,0.9998485487727041,0.8514405234093025,0.55376973843854,319.94427038214656,9.506525878230402,333803.0
0.004469625712402791,184849.0,333227.0,0.9998431398003007,0.8499713043145557,0.5547239569422646,320.2189387229004,9.520810022545088,333227.0
0.0045323956217089905,184849.0,332651.0,0.9998431398003007,0.848502085219809,0.555684486143135,320.4960554812998,9.535182948782738,332651.0
0.004602724429006475,184848.0,332075.0,0.9998377308278973,0.8470328661250621,0.5566453361439434,320.77215760650995,9.549554919713264,332075.0
0.004671641185331538,184847.0,331499.0,0.9998323218554939,0.8455636470303154,0.5576095252172706,321.0489805432137,9.563971081718888,331499.0
0.004737842246765515,184847.0,330922.0,0.9998323218554939,0.8440918772079736,0.5585817806008667,321.32875127932203,9.578502045763951,330922.0
0.004804140706670115,184846.0,330346.0,0.9998269128830904,0.8426226581132268,0.5595527113995629,321.6070280503266,9.59300735014664,330346.0
0.004878603337693209,184844.0,329771.0,0.9998160949382836,0.8411559897460751,0.5605223018397615,321.8838056834623,9.60748678921407,329771.0
0.004951308436024992,184843.0,329195.0,0.9998106859658802,0.8396867706513282,0.561500022782849,322.1635434236006,9.622081797107155,329195.0
0.005025915935517981,184841.0,328620.0,0.9997998680210733,0.8382201022841765,0.5624764165297303,322.4417828194291,9.636651082973223,328620.0
0.005099627130017781,184840.0,328044.0,0.9997944590486699,0.8367508831894298,0.5634609991342625,322.72299434650927,9.65133664081567,328044.0
0.005179387732365391,184839.0,327468.0,0.9997890500762665,0.835281664094683,0.5644490454029096,323.0049490382901,9.666067864943244,327468.0
0.005260772933791601,184838.0,326892.0,0.9997836411038631,0.8338124449999362,0.5654405736451182,323.28765016841635,9.68084497156976,326892.0
0.005339336144457272,184836.0,326317.0,0.9997728231590562,0.8323457766327845,0.5664308019502509,323.56885466508754,9.695596652710062,326317.0
0.005414204621991939,184836.0,325740.0,0.9997728231590562,0.8308740068104427,0.5674341499355314,323.85530493954224,9.710537704163999,325740.0
0.0054914290727119605,184834.0,325166.0,0.9997620052142494,0.829409889170886,0.5684296636179674,324.13751471430055,9.725355942280052,325166.0
0.005567699022665252,184832.0,324591.0,0.9997511872694426,0.8279432208037343,0.5694304524771173,324.4209755737914,9.740246588787741,324591.0
